time us,current kA
0.608,72.219
0.609,75.56775
0.61,73.54425
0.611,71.32125
0.612,73.2735
0.613,72.77475
0.614,69.78225
0.615,70.908
0.616,67.84425
0.617,70.35225
0.618,70.06725
0.619,72.91725
0.62,71.66325
0.621,72.43275
0.622,73.20225
0.623,77.16375
0.624,74.51325
0.625,77.7195
0.626,72.29025
0.627,74.94075
0.628,71.32125
0.629,72.77475
0.63,69.78225
0.631,70.908
0.632,68.115
0.633,72.57525
0.634,72.09075
0.635,71.25
0.636,71.94825
0.637,74.65575
0.638,72.219
0.639,75.56775
0.64,71.592
0.641,77.16375
0.642,74.51325
0.643,74.8695
0.644,74.5845
0.645,73.9575
0.646,73.54425
0.647,73.54425
0.648,71.592
0.649,77.16375
0.65,76.7505
0.651,76.1235
0.652,77.16375
0.653,80.01375
0.654,78.41775
0.655,78.75975
0.656,78.75975
0.657,78.75975
0.658,76.19475
0.659,77.3775
0.66,71.66325
0.661,74.94075
0.662,71.32125
0.663,72.77475
0.664,72.57525
0.665,72.57525
0.666,73.20225
0.667,74.94075
0.668,77.7195
0.669,79.04475
0.67,79.3155
0.671,78.6885
0.672,79.52925
0.673,79.743
0.674,79.743
0.675,79.458
0.676,78.9735
0.677,78.75975
0.678,78.75975
0.679,78.75975
0.68,78.9735
0.681,79.458
0.682,82.23675
0.683,80.49825
0.684,80.78325
0.685,80.78325
0.686,78.3465
0.687,80.01375
0.688,79.52925
0.689,78.6885
0.69,77.0925
0.691,77.16375
0.692,76.53675
0.693,76.266
0.694,76.266
0.695,76.53675
0.696,79.38675
0.697,78.07575
0.698,81.75225
0.699,83.14875
0.7,83.63325
0.701,83.14875
0.702,83.847
0.703,84.11775
0.704,84.11775
0.705,83.847
0.706,80.8545
0.707,82.23675
0.708,81.681
0.709,81.054
0.71,80.78325
0.711,81.054
0.712,81.681
0.713,84.474
0.714,82.86375
0.715,83.14875
0.716,83.14875
0.717,83.14875
0.718,80.64075
0.719,82.23675
0.72,81.41025
0.721,78.07575
0.722,79.52925
0.723,79.04475
0.724,78.9735
0.725,80.44125
0.726,80.8545
0.727,84.40275
0.728,86.14125
0.729,87.59475
0.73,88.36425
0.731,87.4665
0.732,87.73725
0.733,87.4665
0.734,86.14125
0.735,82.86375
0.736,81.4815
0.737,80.49825
0.738,82.308
0.739,81.966
0.74,81.966
0.741,82.7355
0.742,83.00625
